FIPS,Area (Land),Area (Water),Total_Population,Percent_Pov
Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,PCT_SE_A13002_002
09160300100,54860268,660814,2618,2.11
09160300400,30206485,33277,2115,2.86
09160300500,60229321,1137200,3516,1.34
09160303100,44961621,3518691,2100,0
09160306100,95927210,2940726,6684,0
09160310100,3364645,18317,4124,4.38
09160310200,1374895,18411,2569,9.41
09160310300,970255,0,1633,12.8
09160310400,2018405,0,2593,2.24
09160310500,1457647,0,1902,0
09160310601,13575634,0,3161,3.62
09160310602,6133422,0,4385,9.39
09160310700,50039684,1269390,4396,9.45
09160310801,4102152,4873,2457,28.93
09160310803,5937149,0,5462,10.03
09160310804,14008180,130419,2799,13.4
09160320101,609064,0,1499,27.41
09160320102,24821328,76895,4403,5.91
09160320200,58783174,3309252,4340,5.27
09160330100,85456173,3932194,1881,1.11
09160410101,43821489,588924,5397,1.16
09160410102,33106241,1247746,4216,3.74
09160425601,117436917,2861078,1732,6.45
09160425602,85242555,836406,1140,19.19
09170140101,181172,0,1056,9.23
09170140102,506661,0,2704,18.47
09170140200,2025494,1619895,435,45.45
09170140300,719325,0,2623,18.06
09170140400,886631,472133,3511,9.21
09170140500,1016311,56739,3680,20.66
09170140600,742654,0,5002,40.84
09170140700,550604,0,3806,32.54
09170140800,1648799,115475,4021,40.67
09170140900,980990,0,5197,28.95
09170141000,1896847,7050,4093,5.93
09170141100,3869431,15739,3015,6.74
09170141200,1934378,18034,4474,20.09
09170141301,4021242,38905,6863,32.67
09170141400,1130319,0,6139,12.47
09170141500,1609634,18287,7289,14.69
09170141600,1068852,0,4907,23.45
09170141800,1463923,0,4200,5.53
09170141900,1335137,45356,5477,0
09170142000,665939,0,3488,7.66
09170142100,624051,0,1497,48.34
09170142200,874724,50439,1708,0
09170142300,1012178,240526,5465,32.46
09170142400,1144657,25761,5702,16.01
09170142500,1845830,276834,6183,10.7
09170142601,3815784,340551,5970,18.62
09170142604,1524437,88900,3252,20.17
09170142605,963007,0,4145,18.32
09170142700,3177377,739944,5592,31.58
09170142800,3973586,2312114,4965,0.73
09170150100,3165084,153797,4781,0
09170150200,2296786,3704431,3249,3.73
09170150300,3174930,36882,3692,1.52
09170150400,1638869,803084,3973,7.58
09170150500,4255061,2196698,4158,2.43
09170150600,10283453,838251,6509,2.17
09170150700,11471357,491296,4430,6.36
09170150800,5526507,37077,3946,2.44
09170150900,4476004,955137,3956,3.74
09170151000,2080477,905216,4104,1.77
09170151100,5668142,2373005,6355,0.13
09170151200,3407374,3033,3187,1.24
09170154101,2480923,43743,2734,4.44
09170154102,3915625,208070,5508,8.6
09170154200,3116828,0,6685,9.85
09170154500,1353040,129649,4761,12.23
09170154600,2219832,107161,4943,10.14
09170154700,5052069,367751,6613,4.9
09170154800,1958273,355039,4623,0
09170154900,1850369,0,3835,18.41
09170155000,1563727,1182829,5382,10.18
09170155100,1262790,785958,3214,2.31
09170157100,9341972,96412,2711,8.04
09170157200,9288029,63034,4061,1.93
09170157300,12104612,360991,3294,1.93
09170157400,13764151,95916,4185,2.35
09170160100,17443257,23631,3426,0.81
09170160200,31279070,948311,5615,1.16
09170161100,54564789,996204,5280,0
09170165100,4735203,582965,3636,6.81
09170165200,3546279,314643,2740,1.7
09170165300,1305527,219752,2482,4.95
09170165400,2866393,274185,5501,2.98
09170165500,1557265,0,4628,19.97
09170165600,2347325,0,5019,10.02
09170165700,2693531,4094,4516,0
09170165801,4153554,0,4849,8.6
09170165802,12882293,179713,4436,2.19
09170165900,27012406,29123,7855,0
09170166002,17299095,161580,7643,3.05
09170166003,2235070,0,2236,4.6
09170166004,1879908,0,4756,9.46
09170167101,12257993,247763,3730,3.25
09170167102,4211869,0,4368,0.4
09170167201,10336554,405041,4149,1.35
09170167202,9823534,55873,4336,1.4
09170167301,17344744,5776,7594,5.59
09170170100,475134,0,1385,38.36
09170170200,608828,0,1615,14.59
09170170300,875299,0,2318,22.58
09170170400,5445255,145129,1722,22.34
09170170500,7384516,412,5537,1.69
09170170600,2091525,285028,2702,4.33
09170170700,920217,0,2239,8.82
09170170800,3624563,466,6330,6.67
09170170900,707433,0,2763,22.78
09170171000,515426,0,1842,27.72
09170171100,4303802,0,5704,13.83
09170171201,5100362,0,4941,2.68
09170171202,7888634,106599,2961,2.75
09170171300,1958101,0,3944,18.34
09170171400,666493,0,2127,11.09
09170171500,1008353,0,3547,6.71
09170171600,7708802,237995,4704,8.15
09170171700,10183879,164815,4037,0
09170175100,1377939,0,2912,12.06
09170175200,838797,0,2508,7.95
09170175300,4271056,12183,4192,4.18
09170175400,10522379,310632,4270,1.52
09170175501,5058955,0,1831,3.17
09170175502,8698031,206055,5111,0
09170175600,6725037,0,5912,1
09170175700,5230372,58609,2059,13.93
09170175800,14396911,273927,4022,1.24
09170175900,5227304,16182,5089,1.2
09170176000,39086876,1270759,6133,0
