FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
34003024200,4779991,563028,34,"Census Tract 242, Bergen County, New Jersey",4883,4.4
34003025100,2328140,8738,34,"Census Tract 251, Bergen County, New Jersey",6325,13.31
34003025200,1617443,0,34,"Census Tract 252, Bergen County, New Jersey",5742,0
34003026100,3143670,8535,34,"Census Tract 261, Bergen County, New Jersey",4708,3.3
34003026200,4371597,82239,34,"Census Tract 262, Bergen County, New Jersey",5378,2.53
34003027000,4505069,27286,34,"Census Tract 270, Bergen County, New Jersey",4230,0
34003028001,2458444,273534,34,"Census Tract 280.01, Bergen County, New Jersey",5530,0.6
34003028002,1486435,0,34,"Census Tract 280.02, Bergen County, New Jersey",3770,4.32
34003029100,1049094,93531,34,"Census Tract 291, Bergen County, New Jersey",4303,3.23
34003029200,2776510,401666,34,"Census Tract 292, Bergen County, New Jersey",6639,7.86
34003030100,2177565,0,34,"Census Tract 301, Bergen County, New Jersey",6094,23.92
34003030201,693517,12615,34,"Census Tract 302.01, Bergen County, New Jersey",4507,5.25
34003030202,721022,12387,34,"Census Tract 302.02, Bergen County, New Jersey",3448,26.86
34003030300,1072978,20221,34,"Census Tract 303, Bergen County, New Jersey",4604,10.17
34003030401,513101,0,34,"Census Tract 304.01, Bergen County, New Jersey",3339,6.25
34003030402,706844,0,34,"Census Tract 304.02, Bergen County, New Jersey",3954,9.16
34003031100,8186424,847264,34,"Census Tract 311, Bergen County, New Jersey",6453,8.54
34003031200,1073707,36896,34,"Census Tract 312, Bergen County, New Jersey",4747,3.87
34003031300,1374763,101208,34,"Census Tract 313, Bergen County, New Jersey",6394,0.86
34003031400,1238706,0,34,"Census Tract 314, Bergen County, New Jersey",4749,2.65
34003032102,15242978,229844,34,"Census Tract 321.02, Bergen County, New Jersey",5989,0
34003032103,4725612,3762,34,"Census Tract 321.03, Bergen County, New Jersey",4555,2.3
34003032104,36245095,959722,34,"Census Tract 321.04, Bergen County, New Jersey",4100,3.19
34003032201,5647674,27494,34,"Census Tract 322.01, Bergen County, New Jersey",5766,1.42
34003032202,3903394,52082,34,"Census Tract 322.02, Bergen County, New Jersey",4965,2.23
34003033100,1233991,0,34,"Census Tract 331, Bergen County, New Jersey",4134,0
34003033200,1241286,5141,34,"Census Tract 332, Bergen County, New Jersey",2489,3.94
34003033300,857240,0,34,"Census Tract 333, Bergen County, New Jersey",3419,3.31
34003034001,1707160,21022,34,"Census Tract 340.01, Bergen County, New Jersey",2494,0
34003034002,2361105,0,34,"Census Tract 340.02, Bergen County, New Jersey",4502,0.6
