FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
09110530500,6408808,54521,9,"Census Tract 5305, Capitol Planning Region, Connecticut",3475,8.5
09110530600,16672149,772475,9,"Census Tract 5306, Capitol Planning Region, Connecticut",2634,0
09110533102,36307158,151626,9,"Census Tract 5331.02, Capitol Planning Region, Connecticut",5582,3.79
09110533103,28150710,1422781,9,"Census Tract 5331.03, Capitol Planning Region, Connecticut",4475,6.36
09110533104,38175646,55804,9,"Census Tract 5331.04, Capitol Planning Region, Connecticut",4499,0
09110535101,18977336,23779,9,"Census Tract 5351.01, Capitol Planning Region, Connecticut",5813,1.15
09110535102,25981033,1848,9,"Census Tract 5351.02, Capitol Planning Region, Connecticut",4480,15.21
09110535200,43206583,1355239,9,"Census Tract 5352, Capitol Planning Region, Connecticut",6407,1.94
09110538100,1637915,0,9,"Census Tract 5381, Capitol Planning Region, Connecticut",1078,
09110538201,38651100,216049,9,"Census Tract 5382.01, Capitol Planning Region, Connecticut",5055,0.62
09110538202,33412147,87978,9,"Census Tract 5382.02, Capitol Planning Region, Connecticut",4031,0.72
09110840100,86230085,582494,9,"Census Tract 8401, Capitol Planning Region, Connecticut",5563,4.62
09110850100,49745926,47320,9,"Census Tract 8501, Capitol Planning Region, Connecticut",5848,1.69
09110850200,47562093,1697140,9,"Census Tract 8502, Capitol Planning Region, Connecticut",6419,4.84
09110860100,55355052,1587988,9,"Census Tract 8601, Capitol Planning Region, Connecticut",5268,0.49
09110881100,57881356,2261829,9,"Census Tract 8811, Capitol Planning Region, Connecticut",4415,0.65
09110881200,2273066,28584,9,"Census Tract 8812, Capitol Planning Region, Connecticut",7944,0
09110881300,23672163,171344,9,"Census Tract 8813, Capitol Planning Region, Connecticut",4811,13.51
09110881500,31779294,178962,9,"Census Tract 8815, Capitol Planning Region, Connecticut",5284,7.35
09110890100,8850574,40014,9,"Census Tract 8901, Capitol Planning Region, Connecticut",3719,6.08
09110890202,93259177,698992,9,"Census Tract 8902.02, Capitol Planning Region, Connecticut",4996,1.83
09110890204,48207064,1129952,9,"Census Tract 8902.04, Capitol Planning Region, Connecticut",2747,3.45
09110980001,2363607,0,9,"Census Tract 9800.01, Capitol Planning Region, Connecticut",0,
09110980002,3833412,0,9,"Census Tract 9800.02, Capitol Planning Region, Connecticut",0,
09110980003,602790,0,9,"Census Tract 9800.03, Capitol Planning Region, Connecticut",0,
09110980100,4136404,1044531,9,"Census Tract 9801, Capitol Planning Region, Connecticut",940,
09120060100,3837602,0,9,"Census Tract 601, Greater Bridgeport Planning Region, Connecticut",3995,1.41
09120060200,4201169,11817,9,"Census Tract 602, Greater Bridgeport Planning Region, Connecticut",4479,3.74
09120060300,11682704,1050712,9,"Census Tract 603, Greater Bridgeport Planning Region, Connecticut",4251,2.25
09120060400,22385495,0,9,"Census Tract 604, Greater Bridgeport Planning Region, Connecticut",5098,0.55
09120060500,5608990,17867,9,"Census Tract 605, Greater Bridgeport Planning Region, Connecticut",3156,1.39
09120060600,2941270,406934,9,"Census Tract 606, Greater Bridgeport Planning Region, Connecticut",2089,5.02
09120060700,5305269,46781,9,"Census Tract 607, Greater Bridgeport Planning Region, Connecticut",7987,1.69
09120060800,1423922,0,9,"Census Tract 608, Greater Bridgeport Planning Region, Connecticut",2265,4.03
09120060900,1496123,0,9,"Census Tract 609, Greater Bridgeport Planning Region, Connecticut",2680,0.69
09120061000,3329661,0,9,"Census Tract 610, Greater Bridgeport Planning Region, Connecticut",4189,6.33
09120061100,2707147,0,9,"Census Tract 611, Greater Bridgeport Planning Region, Connecticut",3850,0
09120061200,790582,0,9,"Census Tract 612, Greater Bridgeport Planning Region, Connecticut",2270,3.62
09120061300,1250954,0,9,"Census Tract 613, Greater Bridgeport Planning Region, Connecticut",2973,1.92
09120061400,1615561,0,9,"Census Tract 614, Greater Bridgeport Planning Region, Connecticut",3196,6.72
09120061500,3641728,540635,9,"Census Tract 615, Greater Bridgeport Planning Region, Connecticut",4823,0.45
09120061600,5229605,1752515,9,"Census Tract 616, Greater Bridgeport Planning Region, Connecticut",5207,9
09120070100,1692879,744658,9,"Census Tract 701, Greater Bridgeport Planning Region, Connecticut",6732,0
09120070200,843488,59847,9,"Census Tract 702, Greater Bridgeport Planning Region, Connecticut",4419,20.19
09120070300,1074850,214804,9,"Census Tract 703, Greater Bridgeport Planning Region, Connecticut",1277,31.91
09120070400,1742609,4461228,9,"Census Tract 704, Greater Bridgeport Planning Region, Connecticut",1926,9.09
09120070500,382635,0,9,"Census Tract 705, Greater Bridgeport Planning Region, Connecticut",1945,45.22
09120070600,1781953,365174,9,"Census Tract 706, Greater Bridgeport Planning Region, Connecticut",2697,14.99
09120070900,442261,0,9,"Census Tract 709, Greater Bridgeport Planning Region, Connecticut",2394,53.75
09120071000,1147984,0,9,"Census Tract 710, Greater Bridgeport Planning Region, Connecticut",2669,12.58
09120071100,662760,0,9,"Census Tract 711, Greater Bridgeport Planning Region, Connecticut",4278,20.25
09120071200,556437,0,9,"Census Tract 712, Greater Bridgeport Planning Region, Connecticut",5589,33.63
09120071300,309935,0,9,"Census Tract 713, Greater Bridgeport Planning Region, Connecticut",2635,7.89
