OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
169044271,166,Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783,YES,NO,,,NO,0,9,390644.3093,135131.371,
169044272,167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,YES,NO,,,NO,7,7,391889.0158,135214.8085,
169044273,168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,YES,NO,,,NO,15,5,397186.5319,135635.0937,
169044274,169,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,YES,NO,,,NO,13,9,397520.47,135658.7378,
169044275,170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,YES,NO,,,NO,1,12,389526.9173,134566.6302,
169044276,171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,YES,NO,,,NO,16,2,398270.1958,136303.0502,
169044277,172,N Veitch & Key Blvd,31028,38.893241,-77.086045,YES,NO,,,NO,1,10,392535.4181,136158.5167,
169044278,173,Lee Hwy & N Adams St,31030,38.89593,-77.089006,YES,NO,,,NO,0,16,392278.8363,136457.2631,
169044279,174,15th & N Scott St,31031,38.89054,-77.08095,YES,NO,,,NO,4,7,392977.1539,135858.2803,
169043805,175,Washington Blvd & 7th St N,31032,38.880834,-77.091129,YES,NO,,,NO,4,6,392092.9958,134781.6721,
169043806,176,Ballston Metro / N Stuart & 9th St N,31037,38.881044,-77.111768,YES,NO,,,NO,0,23,390302.2378,134806.9737,
169043807,177,N Randolph St & Fairfax Dr,31034,38.882629,-77.109366,YES,NO,,,NO,4,7,390510.8626,134982.6683,
169043808,178,Jefferson Memorial,31249,38.879819,-77.037413,YES,NO,,,NO,17,5,396753.7338,134665.7179,
