Census Tract,Geography,Geographic Area Name,Total,"Chinese, except Taiwanese",Hmong,Japanese,Korean,Mongolian,Okinawan,Taiwanese,Other East Asian,Burmese,Cambodian,Filipino,Indonesian,Laotian,Malaysian,Mien,Singaporean,Thai,Vietnamese,Other Southeast Asian,Asian Indian,Bangladeshi,Bhutanese,Nepalese,Pakistani,Sikh,Sri Lankan,Other South Asian,Kazakh,Uzbek,Other Central Asian,"Other Asian, specified","Other Asian, not specified",Two or more Asian,Estimate!!Total:,Percent Asian of Census Tract,GEOID
21894,1400000US13067030353,Census Tract 303.53; Cobb County; Georgia,342,61,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,9,23,0,0,0,0,0,0,0,21,12,3197,10.69752893,13067030353
21895,1400000US13067030354,Census Tract 303.54; Cobb County; Georgia,910,58,0,0,172,0,0,0,0,0,0,0,0,43,0,0,0,0,18,0,607,0,0,0,12,0,0,0,0,0,0,0,0,0,4678,19.45275759,13067030354
21896,1400000US13067030355,Census Tract 303.55; Cobb County; Georgia,137,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,85,0,0,0,0,0,0,0,2332,5.874785592,13067030355
21897,1400000US13067030356,Census Tract 303.56; Cobb County; Georgia,869,191,0,16,0,0,0,40,0,0,0,0,0,0,0,0,0,14,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,4741,18.32946636,13067030356
21898,1400000US13067030357,Census Tract 303.57; Cobb County; Georgia,158,25,0,9,92,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2175,7.264367816,13067030357
21899,1400000US13067030358,Census Tract 303.58; Cobb County; Georgia,766,62,0,0,25,0,0,0,0,0,0,20,0,0,44,0,0,0,127,0,329,0,0,67,42,0,0,0,0,0,0,0,0,50,3601,21.27186893,13067030358
21900,1400000US13067030359,Census Tract 303.59; Cobb County; Georgia,493,76,0,0,124,0,0,0,0,0,0,45,0,0,0,0,0,16,37,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,4318,11.41732283,13067030359
21901,1400000US13067030360,Census Tract 303.60; Cobb County; Georgia,47,0,0,0,0,0,0,24,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,2.45687402,13067030360
21902,1400000US13067030361,Census Tract 303.61; Cobb County; Georgia,379,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,4486,8.448506465,13067030361
21903,1400000US13067030362,Census Tract 303.62; Cobb County; Georgia,152,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,3308,4.594921403,13067030362
